lat,lng,franchise,store
37.536423,126.878672,스타벅스,스타벅스 목동점
37.5258712,126.8708145,스타벅스,스타벅스 목동트라팰리스점
37.528916,126.874799,스타벅스,스타벅스 목동파라곤점
37.536259,126.8791467,스타벅스,스타벅스 목동파리공원점
37.5370192,126.8735297,스타벅스,스타벅스 목동행복한점
37.4982107,127.0269111,스타벅스,스타벅스 몬테소리점
37.5218922,127.1228483,스타벅스,스타벅스 몽촌토성역점
37.5672459,126.9789,스타벅스,스타벅스 무교로점
37.6154214,127.0766741,스타벅스,스타벅스 묵동점
37.51958,126.889623,스타벅스,스타벅스 문래동점
37.517382,126.895267,스타벅스,스타벅스 문래역점
37.491868,127.1262565,스타벅스,스타벅스 문정로데오점
37.4876299,127.118858,스타벅스,스타벅스 문정법원로R
37.4852613,127.1222385,스타벅스,스타벅스 문정역점
37.5670828,126.9686365,스타벅스,스타벅스 문화일보점
37.618434,127.021141,스타벅스,스타벅스 미아뉴타운점
37.611809,127.0306971,스타벅스,스타벅스 미아사거리역점
37.6260494,127.0266005,스타벅스,스타벅스 미아역점
37.6260494,127.0266005,스타벅스,스타벅스 미아이마트점
37.6075807,127.0293034,스타벅스,스타벅스 미아점
37.5085774,127.0119102,스타벅스,스타벅스 반포역점
37.5031833,127.0079167,스타벅스,스타벅스 반포자이점
37.5601723,126.8393026,스타벅스,스타벅스 발산역사거리점
37.5601723,126.8393026,스타벅스,스타벅스 발산역점
37.4843008,126.9960781,스타벅스,스타벅스 방배다이치빌딩점
37.4793434,126.9994968,스타벅스,스타벅스 방배로점
37.48201,126.99764,스타벅스,스타벅스 방배역점
37.4919853,126.9906289,스타벅스,스타벅스 방배점
37.4799348,126.9934602,스타벅스,스타벅스 방배카페거리
37.5085169,127.1266393,스타벅스,스타벅스 방이역점
37.665366,127.0434767,스타벅스,스타벅스 방학역점
37.5743389,126.8164145,스타벅스,스타벅스 방화DT
37.4920496,126.9234976,스타벅스,스타벅스 보라매공원R점
37.49099,126.925521,스타벅스,스타벅스 보라매대교점
37.5112978,127.04842,스타벅스,스타벅스 봉은사로 선정릉점
37.5150215,127.063172,스타벅스,스타벅스 봉은사역점
37.4820227,126.9422444,스타벅스,스타벅스 봉천역점
37.5784186,126.9099561,스타벅스,스타벅스 북가좌DT점
37.579419,126.986444,스타벅스,스타벅스 북촌로점
37.5795641,127.0879688,스타벅스,스타벅스 사가정역점
37.4772518,126.9821525,스타벅스,스타벅스 사당로데오점
37.47849,126.98135,스타벅스,스타벅스 사당역점
37.4760891,126.9810116,스타벅스,스타벅스 사당R점
37.588696,127.0073207,스타벅스,스타벅스 삼선교점
37.5107503,127.0635903,스타벅스,스타벅스 삼성동점
37.5075512,127.060561,스타벅스,스타벅스 삼성역섬유센터R점
37.5853358,126.9816987,스타벅스,스타벅스 삼청동점
37.6567226,127.0664411,스타벅스,스타벅스 상계초교사거리점
37.5031939,126.9484286,스타벅스,스타벅스 상도역점
37.5968974,127.086455,스타벅스,스타벅스 상봉
37.5968974,127.086455,스타벅스,스타벅스 상봉역점
37.576088,126.889136,스타벅스,스타벅스 상암디지털큐브점
37.581374,126.8887417,스타벅스,스타벅스 상암사보이시티
37.5776416,126.8906597,스타벅스,스타벅스 상암DMC점
37.5809977,126.891831,스타벅스,스타벅스 상암MBC점
37.564992,127.027656,스타벅스,스타벅스 상왕십리역점
37.5574569,127.1709981,스타벅스,스타벅스 상일동역점
37.5510764,127.1741617,스타벅스,스타벅스 상일동점
37.5697922,126.9750549,스타벅스,스타벅스 새문안로점
37.5167428,126.9288901,스타벅스,스타벅스 샛강역점
37.549419,126.931662,스타벅스,스타벅스 서강광흥창역점
37.5523762,126.9377752,스타벅스,스타벅스 서강대점
37.5523762,126.9377752,스타벅스,스타벅스 서강대흥역
37.55334,126.918578,스타벅스,스타벅스 서교동사거리
37.5513862,126.9168916,스타벅스,스타벅스 서교점
37.5666036,126.9662841,스타벅스,스타벅스 서대문역점
37.4992222,126.9984676,스타벅스,스타벅스 서래마을입구점
37.5629925,126.9745124,스타벅스,스타벅스 서소문로점
37.5628225,126.9721986,스타벅스,스타벅스 서소문배재
37.504406,127.005648,스타벅스,스타벅스 서울고속터미널점
37.566535,126.9779692,스타벅스,스타벅스 서울교대점
37.4811125,126.9513217,스타벅스,스타벅스 서울대역점
37.4811125,126.9513217,스타벅스,스타벅스 서울대입구역점
37.5775956,126.9998863,스타벅스,스타벅스 서울대치과병원점
37.5148388,127.0357329,스타벅스,스타벅스 서울세관사거리점
37.5447111,127.0494821,스타벅스,스타벅스 서울숲역점
37.566535,126.9779692,스타벅스,스타벅스 서울시청점
37.4805909,127.0123936,스타벅스,스타벅스 서울아트센터점
37.566535,126.9779692,스타벅스,스타벅스 서울양평역점
37.5523409,126.972128,스타벅스,스타벅스 서울역동자동점
37.5541592,126.9718882,스타벅스,스타벅스 서울역사점
37.5548694,126.9684152,스타벅스,스타벅스 서울역서부점
37.5187312,127.0067959,스타벅스,스타벅스 서울웨이브아트센터점
37.5612076,126.9818117,스타벅스,스타벅스 서울중앙우체국점
37.5511942,126.9881173,스타벅스,스타벅스 서울타워점
37.4918146,127.0252252,스타벅스,스타벅스 서이초교사거리점
37.4837121,127.0324112,스타벅스,스타벅스 서초구청점
37.485981,127.0215294,스타벅스,스타벅스 서초동점
37.492767,127.01179,스타벅스,스타벅스 서초법원점
37.49184,127.007688,스타벅스,스타벅스 서초역이화빌딩점
37.4906655,127.0086297,스타벅스,스타벅스 서초역점
37.4935046,127.0292214,스타벅스,스타벅스 서초우성사거리점
37.5016276,127.011526,스타벅스,스타벅스 서초중앙로점
37.4949214,127.0273968,스타벅스,스타벅스 서초파라곤점
37.5064215,127.0967159,스타벅스,스타벅스 석촌서호
37.5057138,127.1070689,스타벅스,스타벅스 석촌역
37.5094027,127.1052218,스타벅스,스타벅스 석촌호수점
37.5037306,127.0511864,스타벅스,스타벅스 선릉 세화빌딩점
37.5052818,127.050481,스타벅스,스타벅스 선릉동신빌딩R점
